"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-04","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","14:36:48","1.86E-06","15:28:19","1.86E-06","1.67E-06","1.9E-07","1.86E-06","0"
"2023-09-04","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","14:36:48","0.015402569","15:28:19","0.015402569","0.015402569","0","0.015402569","0"
"2023-09-04","MiningDutch","AEON","UselessGuru","0","14:36:48","0.00170007","15:28:19","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-04","MiningDutch","BELL","UselessGuru","0","14:36:48","0.43648422","15:28:19","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-04","MiningDutch","BTC","UselessGuru","0","14:36:48","4.699E-05","15:28:19","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-04","MiningDutch","CCC","UselessGuru","0","14:36:48","4.313485","15:28:19","4.313485","4.313485","0","4.313485","0"
"2023-09-04","MiningDutch","CLORE","UselessGuru","0","14:36:48","0.01281439","15:28:19","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-04","MiningDutch","DMS","UselessGuru","0","14:36:48","0.09630923","15:28:19","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-04","MiningDutch","FTC","UselessGuru","0","14:36:48","0.84452926","15:28:19","0.84452926","0.84452926","0","0.84452926","0"
"2023-09-04","MiningDutch","GUN","UselessGuru","0","14:36:48","10.8156864","15:28:19","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-04","MiningDutch","IQ","UselessGuru","0","14:36:48","2.58782551","15:28:19","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-04","MiningDutch","NEOX","UselessGuru","0","14:36:48","0.57254822","15:28:19","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-04","MiningDutch","NYX","UselessGuru","0","14:36:48","0.09979641","15:28:19","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-04","MiningDutch","PAPRY","UselessGuru","0","14:36:48","0.22477687","15:28:19","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-04","MiningDutch","UFO","UselessGuru","0","14:36:48","0.20887727","15:28:19","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-04","MiningDutch","VHH","UselessGuru","0","14:36:48","6317.71316063","15:28:19","6317.71316063","6317.71316063","0","6317.71316063","0"
